id,taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,sumseqs,percentseq,sumsamp,rank,Fire
Otu6,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,spp.,67564,6.869785815,24,1,postfire
Otu7,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,spp.,67564,6.869785815,24,1,postfire
Otu8,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,spp.,67564,6.869785815,24,1,postfire
Otu9,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,spp.,26407,2.685016192,24,4,postfire
Otu13,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,spp.,18639,1.895179945,24,5,postfire
Otu1421,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__; s__,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonosporaceae,spp.,11510,1.170316067,24,6,postfire
Otu17024,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__muralis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,muralis,11269,1.145811621,24,7,postfire
Otu2032,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus; s__,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,spp.,11104,1.129034718,24,8,postfire
Otu61,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia; s__,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,spp.,10568,1.074535204,24,9,postfire
Otu49,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Cohnella; s__,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,spp.,10566,1.074331847,24,10,postfire
Otu5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,spp.,38057,2.264974051,24,1,prefire
Otu14,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,spp.,23847,1.419261534,24,2,prefire
Otu18,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__,Bacteria,Proteobacteria,Betaproteobacteria,MND1,,Betaproteobacteria spp.,spp.,22307,1.327607961,24,3,prefire
Otu24,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Sinobacteraceae,spp.,19922,1.185663953,24,4,prefire
Otu15,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,Acidobacteria spp.,spp.,19299,1.148585916,24,5,prefire
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pre-fire Ratios:,,,Proteobacteria:,84%,,,,,,,,,
,,,Acidobacteria,16%,,,,,,,,,
,,,,,,,,,,,,,
Post-fire Ratios:,,,Firmicutes,82%,,,,,,,,,
,,,Actinobacteria,18%,,,,,,,,,
