"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq","id","Consensus Lineage","id","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","rep(season, nrow(df))"
"Otu5",1,38057,2.3,1.8,2.7,2.3,4.6,0,"Otu5","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__","Otu5","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__","Burned Prefire"
"Otu14",2,23847,1.4,1.3,1.6,3.7,4.4,0,"Otu14","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu14","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Burned Prefire"
"Otu18",3,22307,1.3,1.1,1.5,5,4.3,0,"Otu18","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","Otu18","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__","Burned Prefire"
"Otu24",4,19922,1.2,0.9,1.4,6.2,4.3,0,"Otu24","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__","Otu24","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__","s__","Burned Prefire"
"Otu15",5,19299,1.1,1,1.3,7.3,4.3,0,"Otu15","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu15","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Burned Prefire"
"Otu10",6,16620,1,0.9,1.1,8.3,4.2,0,"Otu10","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__IS-44; f__; g__; s__","Otu10","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__IS-44; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__IS-44","f__","g__","s__","Burned Prefire"
"Otu43",7,15334,0.9,0.8,1,9.2,4.2,0,"Otu43","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__","Otu43","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Ellin6067","f__","g__","s__","Burned Prefire"
"Otu23",8,14192,0.8,0.7,1,10.1,4.2,0.1,"Otu23","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__","Otu23","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__","s__","Burned Prefire"
"Otu27",9,14065,0.8,0.7,0.9,10.9,4.1,0.1,"Otu27","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu27","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Burned Prefire"
"Otu3274",10,13358,0.8,0.7,0.9,11.7,4.1,0.1,"Otu3274","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu3274","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Burned Prefire"
"Otu50",11,10560,0.6,0.5,0.8,12.4,4,0.1,"Otu50","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__","Otu50","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__","Burned Prefire"
"Otu16",12,10199,0.6,0.4,0.8,13,4,0.1,"Otu16","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__","Otu16","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__","Burned Prefire"
"Otu51",13,10164,0.6,0.4,0.8,13.6,4,0.1,"Otu51","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__","Otu51","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__","Burned Prefire"
"Otu17",14,10120,0.6,0.5,0.8,14.2,4,0.1,"Otu17","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu17","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Burned Prefire"
"Otu73",15,9516,0.6,0.4,0.7,14.7,4,0.1,"Otu73","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu73","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Burned Prefire"
"Otu2233",16,9177,0.5,0.5,0.6,15.3,4,0.1,"Otu2233","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu2233","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Burned Prefire"
"Otu20",17,8652,0.5,0.2,0.8,15.8,3.9,0.1,"Otu20","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__","Otu20","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__","Burned Prefire"
"Otu47",18,8270,0.5,0.3,0.7,16.3,3.9,0.1,"Otu47","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","Otu47","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__","Burned Prefire"
"Otu417",19,8158,0.5,0.4,0.5,16.8,3.9,0.1,"Otu417","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu417","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Burned Prefire"
"Otu115",20,7884,0.5,0.4,0.5,17.2,3.9,0.1,"Otu115","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__","Otu115","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__","s__","Burned Prefire"
"Otu19",21,7880,0.5,0.3,0.6,17.7,3.9,0.1,"Otu19","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","Otu19","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__","Burned Prefire"
"Otu29",22,7575,0.5,0.3,0.6,18.2,3.9,0.1,"Otu29","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu29","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Burned Prefire"
"Otu38",23,7442,0.4,0.4,0.5,18.6,3.9,0.2,"Otu38","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu38","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Burned Prefire"
"Otu35",24,7118,0.4,0.3,0.5,19,3.9,0.2,"Otu35","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__","Otu35","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__","Burned Prefire"
"Otu25",25,7040,0.4,0.3,0.5,19.4,3.8,0.2,"Otu25","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__","Otu25","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__Steroidobacter; s__","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__Steroidobacter","s__","Burned Prefire"
"Otu30",26,6694,0.4,0.3,0.5,19.8,3.8,0.2,"Otu30","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","Otu30","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__","Burned Prefire"
"Otu77",27,6481,0.4,0.3,0.5,20.2,3.8,0.2,"Otu77","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__","Otu77","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Thiotrichales","f__Piscirickettsiaceae","g__","s__","Burned Prefire"
"Otu10970",28,6469,0.4,0.3,0.5,20.6,3.8,0.2,"Otu10970","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu10970","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Burned Prefire"
"Otu93",29,6452,0.4,0.3,0.4,21,3.8,0.2,"Otu93","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__","Otu93","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Methylibium","s__","Burned Prefire"
"Otu59",30,6448,0.4,0.3,0.4,21.4,3.8,0.2,"Otu59","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","Otu59","k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__iii1-15","f__","g__","s__","Burned Prefire"
"Otu6",1,67564,6.9,3.9,9.9,6.9,4.8,0,"Otu6","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae","Otu6","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae",NA,NA,"Burned Postfire"
"Otu2",2,58110,5.9,1.1,10.7,12.8,4.8,0,"Otu2","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__","Otu2","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__","g__","s__","Burned Postfire"
"Otu4",3,42279,4.3,0.9,7.7,17.1,4.6,0,"Otu4","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae","Otu4","k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Thermoactinomycetaceae","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Thermoactinomycetaceae",NA,NA,"Burned Postfire"
"Otu7",4,39512,4,0.9,7.1,21.1,4.6,0,"Otu7","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__","Otu7","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Streptomycetaceae","g__Streptomyces","s__","Burned Postfire"
"Otu9",5,26407,2.7,1,4.4,23.8,4.4,0,"Otu9","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae","Otu9","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micromonosporaceae",NA,NA,"Burned Postfire"
