"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq","id","Consensus Lineage","id","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","rep(season, nrow(df))"
"Otu5",1,19058,2.7,1.3,4.2,2.7,4.3,0,"Otu5","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__","Otu5","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__","Unburned Prefire"
"Otu16",2,11438,1.6,1.1,2.1,4.4,4.1,0,"Otu16","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__","Otu16","k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__","Unburned Prefire"
"Otu19",3,7105,1,0.9,1.2,5.4,3.9,0,"Otu19","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","Otu19","k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__","Unburned Prefire"
"Otu12",4,7083,1,0.7,1.3,6.4,3.9,0,"Otu12","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__","Otu12","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Geodermatophilaceae","g__","s__","Unburned Prefire"
"Otu14",5,6782,1,0.8,1.1,7.4,3.8,0,"Otu14","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu14","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Unburned Prefire"
"Otu10",6,6291,0.9,0.8,1,8.3,3.8,0,"Otu10","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__IS-44; f__; g__; s__","Otu10","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__IS-44; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__IS-44","f__","g__","s__","Unburned Prefire"
"Otu18",7,6255,0.9,0.8,1,9.2,3.8,0,"Otu18","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","Otu18","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__","Unburned Prefire"
"Otu73",8,6172,0.9,0.6,1.2,10.1,3.8,0.1,"Otu73","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu73","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Unburned Prefire"
"Otu27",9,5964,0.9,0.7,1,11,3.8,0.1,"Otu27","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","Otu27","k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__","Unburned Prefire"
"Otu50",10,5795,0.8,0.7,1,11.8,3.8,0.1,"Otu50","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__","Otu50","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__","s__","Unburned Prefire"
"Otu23",11,5710,0.8,0.6,1,12.6,3.8,0.1,"Otu23","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__","Otu23","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__","s__","Unburned Prefire"
"Otu43",12,5425,0.8,0.7,0.9,13.4,3.7,0.1,"Otu43","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__","Otu43","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Ellin6067","f__","g__","s__","Unburned Prefire"
"Otu30",13,5187,0.7,0.6,0.9,14.2,3.7,0.1,"Otu30","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","Otu30","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__MND1; f__; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__","Unburned Prefire"
"Otu75",14,4548,0.7,0.4,0.9,14.8,3.7,0.1,"Otu75","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__","Otu75","k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__","g__","s__","Unburned Prefire"
"Otu44",15,4401,0.6,0.4,0.9,15.5,3.6,0.1,"Otu44","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__","Otu44","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__","s__","Unburned Prefire"
"Otu22",16,4111,0.6,0.4,0.7,16,3.6,0.1,"Otu22","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","Otu22","k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__","Unburned Prefire"
