"","Sample","Plot","Fire","Burn","Infection","Otu10","Otu100","Otu1000","Otu10000","Otu10001","Otu10002","Otu10004","Otu10005","Otu10007","Otu10008","Otu10009","Otu1001","Otu10011","Otu10013","Otu10014","Otu10015","Otu10016","Otu10017","Otu10019","Otu1002","Otu10020","Otu10021","Otu10023","Otu10026","Otu10028","Otu10029","Otu1003","Otu10030","Otu10031","Otu10032","Otu10034","Otu10035","Otu10036","Otu10037","Otu1004","Otu10040","Otu10041","Otu10044","Otu10045","Otu10046","Otu10047","Otu10048","Otu1005","NMDS1","NMDS2","NMDS3"
"1","16SPOST60101","Plot601","Postfire","Burned","Infected",14,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.442041660733497,0.162448409789112,0.314813232451937
"2","16SPOST60102","Plot601","Postfire","Burned","Infected",16,25,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113818268445421,-0.00533110954493419,0.4823692931205
"3","16SPOST60103","Plot601","Postfire","Burned","Infected",30,36,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.127623308857915,0.0352534997971119,0.11063176440627
"4","16SPOST60104","Plot601","Postfire","Burned","Infected",4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.900560055066641,0.363089959609197,0.369337159128132
"5","16SPOST60105","Plot601","Postfire","Burned","Infected",14,11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.000419672273455835,-0.105934227694105,0.262574123678305
"6","16SPOST60106","Plot601","Postfire","Burned","Infected",21,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.153204469807619,-0.142209610684217,0.214606303543829
"7","16SPOST60107","Plot601","Postfire","Burned","Infected",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.71766853823019,0.355175838858735,-0.173018148375345
"8","16SPOST60108","Plot601","Postfire","Burned","Infected",22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.267634275442067,0.334059479736685,0.28008392157554
"9","16SPOST60109","Plot601","Postfire","Burned","Infected",32,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148527694307745,0.0441305184194054,0.208011733764269
"10","16SPOST60110","Plot601","Postfire","Burned","Infected",13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.991912980181314,0.476402847289832,0.663294522818352
