"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"Otu17",1,72,0,0,0,0,1.9,0
"Otu22",2,72,0,0,0,0.1,1.9,0
"Otu9",3,72,0,0,0,0.1,1.9,0
"Otu13",4,72,0,0,0,0.1,1.9,0
"Otu19",5,72,0,0,0,0.1,1.9,0
"Otu6",6,72,0,0,0,0.2,1.9,0
"Otu12",7,72,0,0,0,0.2,1.9,0
"Otu61",8,72,0,0,0,0.2,1.9,0.1
"Otu100",9,72,0,0,0,0.3,1.9,0.1
"Otu15",10,71,0,0,0,0.3,1.9,0.1
"Otu5",11,71,0,0,0,0.3,1.9,0.1
"Otu23",12,71,0,0,0,0.3,1.9,0.1
"Otu250",13,71,0,0,0,0.4,1.9,0.1
"Otu48",14,71,0,0,0,0.4,1.9,0.1
"Otu44",15,71,0,0,0,0.4,1.9,0.1
"Otu143",16,71,0,0,0,0.5,1.9,0.1
"Otu32",17,71,0,0,0,0.5,1.9,0.1
"Otu966",18,71,0,0,0,0.5,1.9,0.1
"Otu43",19,71,0,0,0,0.6,1.9,0.1
"Otu16",20,71,0,0,0,0.6,1.9,0.1
"Otu14",21,71,0,0,0,0.6,1.9,0.1
"Otu200",22,71,0,0,0,0.6,1.9,0.1
"Otu268",23,71,0,0,0,0.7,1.9,0.2
"Otu361",24,71,0,0,0,0.7,1.9,0.2
"Otu12560",25,70,0,0,0,0.7,1.8,0.2
"Otu38",26,70,0,0,0,0.8,1.8,0.2
"Otu1421",27,70,0,0,0,0.8,1.8,0.2
"Otu31",28,70,0,0,0,0.8,1.8,0.2
"Otu93",29,70,0,0,0,0.8,1.8,0.2
"Otu2233",30,70,0,0,0,0.9,1.8,0.2
"Otu35",31,70,0,0,0,0.9,1.8,0.2
"Otu45",32,70,0,0,0,0.9,1.8,0.2
"Otu132",33,70,0,0,0,0.9,1.8,0.2
"Otu11",34,70,0,0,0,1,1.8,0.2
"Otu26",35,70,0,0,0,1,1.8,0.2
"Otu17024",36,70,0,0,0,1,1.8,0.2
"Otu21",37,70,0,0,0,1.1,1.8,0.2
"Otu1987",38,70,0,0,0,1.1,1.8,0.3
"Otu554",39,70,0,0,0,1.1,1.8,0.3
"Otu7",40,70,0,0,0,1.1,1.8,0.3
"Otu3274",41,70,0,0,0,1.2,1.8,0.3
"Otu137",42,70,0,0,0,1.2,1.8,0.3
"Otu101",43,70,0,0,0,1.2,1.8,0.3
"Otu409",44,70,0,0,0,1.3,1.8,0.3
"Otu258",45,69,0,0,0,1.3,1.8,0.3
"Otu196",46,69,0,0,0,1.3,1.8,0.3
"Otu69",47,69,0,0,0,1.3,1.8,0.3
"Otu49",48,69,0,0,0,1.4,1.8,0.3
"Otu2626",49,69,0,0,0,1.4,1.8,0.3
"Otu54",50,69,0,0,0,1.4,1.8,0.3
"Otu27",51,69,0,0,0,1.5,1.8,0.3
"Otu42",52,69,0,0,0,1.5,1.8,0.3
