#OTU ID,16SNODNA,16SPCRNC,16SPOST05801,16SPOST05802,16SPOST05803,16SPOST05804,16SPOST05805,16SPOST05806,16SPOST05807,16SPOST05808,16SPOST05809,16SPOST05810,16SPOST05811,16SPOST05812,16SPOST60101,16SPOST60102,16SPOST60103,16SPOST60104,16SPOST60105,16SPOST60106,16SPOST60107,16SPOST60108,16SPOST60109,16SPOST60110,16SPOST60111,16SPOST60112,16SPOST60301,16SPOST60302,16SPOST60303,16SPOST60304,16SPOST60305,16SPOST60306,16SPOST60307,16SPOST60308,16SPOST60309,16SPOST60310,16SPOST60311,16SPOST60312,16SPRE05801,16SPRE05802,16SPRE05803,16SPRE05804,16SPRE05805,16SPRE05806,16SPRE05807,16SPRE05808,16SPRE05809,16SPRE05810,16SPRE05811,16SPRE05812,16SPRE60101,16SPRE60102,16SPRE60103,16SPRE60104,16SPRE60105,16SPRE60106,16SPRE60107,16SPRE60108,16SPRE60109,16SPRE60110,16SPRE60111,16SPRE60112,16SPRE60301,16SPRE60302,16SPRE60303,16SPRE60304,16SPRE60305,16SPRE60306,16SPRE60307,16SPRE60308,16SPRE60309,16SPRE60310,16SPRE60311,16SPRE60312,Consensus Lineage
Otu4184,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
Otu750,9,35,215,3,2,0,0,0,0,3,1,6,5,3,0,2,2,53,32,10,53,1,6,39,8,8,20,7,0,2,6,8,2,19,20,8,26,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
Otu207,3,0,52,29,23,3,0,16,11,3,2,10,20,19,1,0,7,5,2,8,0,10,35,0,5,4,6,7,0,2,0,0,0,0,1,0,0,0,32,60,23,23,8,20,24,14,42,38,19,42,20,4,44,25,46,7,30,72,74,54,57,19,22,7,78,159,62,3,147,41,33,30,75,1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__xylanilytica
Otu12,7,0,1023,700,548,309,115,943,402,130,450,157,547,259,51,68,240,155,431,309,67,204,308,244,243,121,143,144,113,49,48,15,3,13,229,226,115,1,1082,1091,356,610,59,970,678,164,480,529,464,600,119,2,109,114,381,138,216,152,109,172,150,53,308,236,378,187,37,82,26,81,196,162,137,61,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__
Otu27,8,0,818,698,604,343,642,451,393,349,298,245,436,237,22,202,179,51,246,241,2,207,281,111,197,257,80,115,6,60,11,8,0,0,72,114,4,0,803,731,463,437,458,423,458,385,581,494,382,349,460,179,655,566,588,429,541,638,486,511,723,619,679,591,464,564,232,326,605,512,540,948,1897,312,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
Otu44,80,4,1965,1066,305,241,83,424,330,173,532,302,193,222,3,14,43,1,47,65,3,18,18,19,15,30,29,45,40,8,8,2,1,0,21,111,1,3,509,848,210,340,205,184,318,110,916,396,171,194,75,47,76,82,291,87,88,110,78,67,114,154,161,129,155,300,68,193,103,64,63,200,139,146,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
Otu5039,23,0,31,4,2,2,4,26,12,11,26,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,7,13,0,3,0,0,17,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
Otu9,16,0,231,373,192,70,114,191,253,105,95,89,127,97,452,326,781,2502,1378,389,61,2842,481,2594,6340,5948,239,97,35,248,622,184,3,34,313,182,68,288,207,135,84,105,99,172,63,110,63,150,72,103,64,12,44,81,84,52,97,99,90,105,260,324,279,200,257,198,107,107,106,70,121,262,218,70,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae
Otu1596,7,0,3,0,0,0,5,7,2,3,7,2,1,0,0,6,1,9,4,5,0,5,12,0,1,5,4,8,1,0,9,0,0,0,4,10,0,0,1,6,4,0,0,5,0,0,7,0,0,0,8,0,4,15,7,8,26,12,8,2,24,28,6,9,5,5,3,2,2,10,14,12,8,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
Otu6,1,0,428,1575,86,607,673,1018,254,301,796,607,86,194,1244,966,2082,3458,2165,1533,9455,1508,5666,7273,2147,1650,1446,406,11639,795,4082,1180,198,2656,1804,1066,1476,1669,181,231,54,120,101,315,108,89,57,66,92,70,82,22,20,38,59,53,22,48,41,124,96,49,42,86,39,13,21,68,14,30,8,39,63,27,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
