"","Sample","Plot","Fire","Burn","Infection","Otu1","Otu10","Otu100","Otu1000","Otu1001","Otu1002","Otu1003","Otu1005","Otu1006","Otu1007","Otu1008","Otu1009","Otu101","Otu1011","Otu1012","Otu1013","Otu1014","Otu1015","Otu1016","Otu1017","Otu1018","Otu1019","Otu102","Otu1021","Otu1022","Otu1023","Otu1024","Otu1025","Otu1026","Otu1027","Otu1028","Otu103","Otu1030","Otu1032","Otu1033","Otu1034","Otu1035","Otu1037","Otu1038","Otu1039","NMDS1","NMDS2","NMDS3"
"1","ITS1POST60101","Plot601","Postfire","Burned","Infected",6259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,-1.2032128168955,-0.148900838959115,0.201231078284458
"2","ITS1POST60102","Plot601","Postfire","Burned","Infected",1477,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,1,0,0,-0.931837281199369,-0.0148485396045103,0.479818343158279
"3","ITS1POST60103","Plot601","Postfire","Burned","Infected",4642,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,-1.12745902241344,-0.289623536644127,-0.0705636400506816
"4","ITS1POST60104","Plot601","Postfire","Burned","Infected",1286,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,-1.45664413517597,0.098909654475106,-0.0661128133420555
"5","ITS1POST60105","Plot601","Postfire","Burned","Infected",7546,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.90096982309629,0.0957403704842992,0.0201247535302776
"6","ITS1POST60106","Plot601","Postfire","Burned","Infected",2058,1,3,0,0,0,0,0,0,0,4,0,0,6,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,-0.819493456100161,-0.408235328001681,0.107835091820388
"7","ITS1POST60107","Plot601","Postfire","Burned","Infected",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-1.47753331027425,0.0742109159213152,0.159397673950394
"8","ITS1POST60108","Plot601","Postfire","Burned","Infected",7793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02896547879707,0.163489895444722,0.260099260288494
"9","ITS1POST60109","Plot601","Postfire","Burned","Infected",1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,-0.631199286974999,0.102634212898241,0.147307879259811
"10","ITS1POST60110","Plot601","Postfire","Burned","Infected",4694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.41651530490383,-0.0779826443554059,-0.305072018348488
"11","ITS1POST60111","Plot601","Postfire","Burned","Infected",8553,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,-1.17908198152831,0.166292979542337,0.120380355233401
"12","ITS1POST60112","Plot601","Postfire","Burned","Infected",6315,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.96524732665472,0.597749517600727,0.676981010687195
"13","ITS1POST60301","Plot603","Postfire","Burned","Infected",510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,-1.17261047510679,-0.415707158240473,-0.231830270947888
