"","otu.H","otu.N1","otu.N2","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","Plot","Fire","Burn","Infection","NMDS1","NMDS2"
"ITS1POST05801",3.984098135,53.73680426,28.46910881,321,424.4666667,27.96637568,429.6717881,10.91192401,"Plot58","Postfire","Unburned","Uninfected",-0.208772396373653,-0.0602103434426999
"ITS1POST05802",4.449817565,85.61132408,36.80255032,432,539.1724138,26.75242339,532.0692213,11.69689293,"Plot58","Postfire","Unburned","Uninfected",-0.183108766267365,-0.0864359150459798
"ITS1POST05803",3.661896413,38.93510995,20.36911245,339,487.2222222,37.2790883,468.7468995,11.16241246,"Plot58","Postfire","Unburned","Uninfected",-0.193003668294547,-0.0575291166368913
"ITS1POST05804",2.627138828,13.8341314,6.834347055,168,206.28125,14.22208629,231.4388835,8.632059273,"Plot58","Postfire","Unburned","Uninfected",-0.13602664899355,-0.353632559521966
"ITS1POST05805",3.257344156,25.98044541,13.94885192,236,351.1612903,34.06830606,340.8327677,10.27168487,"Plot58","Postfire","Unburned","Uninfected",-0.235564261598425,-0.0577904836486078
"ITS1POST05806",3.305660229,27.2665378,9.376075366,286,372.0588235,26.21556147,360.554761,9.86307801,"Plot58","Postfire","Unburned","Uninfected",-0.183811422825526,-0.115262045883101
"ITS1POST05807",4.336646794,76.45075392,36.58204619,390,467.34375,20.27436208,495.1322968,11.50836537,"Plot58","Postfire","Unburned","Uninfected",-0.209321066415574,-0.0438327755023825
"ITS1POST05808",2.557159342,12.89912323,5.039985525,250,325.2380952,22.21303241,344.1937178,9.983564695,"Plot58","Postfire","Unburned","Uninfected",-0.307311769627441,-0.0738430977521368
"ITS1POST05809",4.20304895,66.88996458,34.98898597,279,300.5769231,9.758673821,295.4044444,8.281002249,"Plot58","Postfire","Unburned","Uninfected",-0.105311894953056,-0.00282164184218407
"ITS1POST05810",3.341486516,28.26110609,8.591010449,266,311.12,17.22064759,295.9979132,8.300871665,"Plot58","Postfire","Unburned","Uninfected",-0.105779038527421,-0.0534911527280935
"ITS1POST05811",2.921697483,18.57278771,8.001875249,207,248.1290323,15.14129695,257.3973605,8.270983041,"Plot58","Postfire","Unburned","Uninfected",-0.232562807681188,-0.186417576382429
"ITS1POST05812",3.701767371,40.51885297,16.79801861,254,303,18.36271995,289.9312193,8.329115368,"Plot58","Postfire","Unburned","Uninfected",-0.177585815094339,-0.200513129865461
"ITS1POST60101",1.807836751,6.097243303,3.223541985,151,294.6363636,45.64245364,310.2810042,10.7198552,"Plot601","Postfire","Burned","Infected",0.437194356341676,-0.0593237296818622
"ITS1POST60102",2.581118355,13.21190551,6.379707478,206,283.9032258,24.88276316,276.5100793,8.552696639,"Plot601","Postfire","Burned","Infected",0.348257849896718,0.0833213887599422
"ITS1POST60103",1.838325411,6.286002971,3.97290853,139,192,19.31142057,205.379894,7.65069294,"Plot601","Postfire","Burned","Infected",0.421682189238696,-0.0174751642754569
"ITS1POST60104",1.614493748,5.025343188,3.203515684,79,128.4,21.40101949,155.5378641,6.969450313,"Plot601","Postfire","Burned","Infected",0.535584606100392,-0.0352338282724534
"ITS1POST60105",1.596833679,4.937374335,2.401637924,166,229,21.04619945,253.1309476,9.090563041,"Plot601","Postfire","Burned","Infected",0.392432117283262,0.0143804538341733
"ITS1POST60106",2.533908579,12.60266852,5.535774084,245,376.3235294,36.84359143,370.8466907,11.01469202,"Plot601","Postfire","Burned","Infected",0.276742374563405,0.00181158337397425
"ITS1POST60107",1.249156363,3.487399616,2.910223893,47,146.2,54.22316362,153.2191988,3.733088753,"Plot601","Postfire","Burned","Infected",0.549193735785304,-0.0233640483325753
"ITS1POST60108",1.322904474,3.754309851,2.193703852,91,118,13.81574644,112.0522432,5.044654471,"Plot601","Postfire","Burned","Infected",0.415959895704596,0.0336020457064359
"ITS1POST60109",3.023346819,20.55998722,9.172976198,320,419.6206897,25.2739263,434.3615884,10.9763062,"Plot601","Postfire","Burned","Infected",0.222853403915503,0.0524228653891118
"ITS1POST60110",1.527289944,4.605678248,3.14582282,85,167.0909091,35.78248112,179.1079535,7.549726687,"Plot601","Postfire","Burned","Infected",0.4997256067837,-0.0886533122666303
"ITS1POST60111",1.134633847,3.110034585,1.914332061,74,105.2307692,15.48385452,111.6246375,5.568195617,"Plot601","Postfire","Burned","Infected",0.495334388748921,0.0300653212616855
"ITS1POST60112",1.391917074,4.022554199,2.755651333,115,205.5882353,33.78669347,215.5831368,8.610618144,"Plot601","Postfire","Burned","Infected",0.441206123923667,0.133622602872269
"ITS1POST60301",1.803791574,6.072628693,4.000962927,78,112.5,19.27373942,103.518197,5.131739456,"Plot603","Postfire","Burned","Infected",0.389071309244042,-0.0718987833575514
"ITS1POST60302",3.537967759,34.39694524,16.65793985,174,248,34.97101957,209.6379377,7.275384802,"Plot603","Postfire","Burned","Infected",0.0514938144785791,0.112738070140934
