"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"Otu2",1,71,0.3,0.3,0.3,0.3,1.9,0
"Otu1",2,70,0.3,0.3,0.3,0.6,1.8,0.1
"Otu14",3,70,0.3,0.3,0.3,0.9,1.8,0.1
"Otu8",4,70,0.3,0.3,0.3,1.2,1.8,0.1
"Otu9",5,69,0.3,0.3,0.3,1.5,1.8,0.2
"Otu6",6,69,0.3,0.3,0.3,1.7,1.8,0.2
"Otu25",7,68,0.3,0.3,0.3,2,1.8,0.2
"Otu44",8,68,0.3,0.3,0.3,2.3,1.8,0.2
"Otu28",9,68,0.3,0.3,0.3,2.6,1.8,0.3
"Otu32",10,68,0.3,0.3,0.3,2.9,1.8,0.3
"Otu18",11,68,0.3,0.3,0.3,3.2,1.8,0.3
"Otu3750",12,68,0.3,0.3,0.3,3.4,1.8,0.4
"Otu15",13,67,0.3,0.3,0.3,3.7,1.8,0.4
"Otu12",14,67,0.3,0.3,0.3,4,1.8,0.4
"Otu13",15,67,0.3,0.3,0.3,4.3,1.8,0.5
"Otu4",16,66,0.3,0.2,0.3,4.6,1.8,0.5
"Otu31",17,66,0.3,0.2,0.3,4.8,1.8,0.5
"Otu5",18,66,0.3,0.2,0.3,5.1,1.8,0.6
"Otu60",19,65,0.3,0.2,0.3,5.4,1.8,0.6
"Otu7",20,65,0.3,0.2,0.3,5.6,1.8,0.6
"Otu19",21,65,0.3,0.2,0.3,5.9,1.8,0.6
"Otu23",22,65,0.3,0.2,0.3,6.2,1.8,0.7
"Otu20",23,64,0.3,0.2,0.3,6.4,1.8,0.7
"Otu10",24,64,0.3,0.2,0.3,6.7,1.8,0.7
"Otu53",25,64,0.3,0.2,0.3,7,1.8,0.8
"Otu42",26,63,0.3,0.2,0.3,7.2,1.8,0.8
"Otu27",27,63,0.3,0.2,0.3,7.5,1.8,0.8
"Otu11",28,63,0.3,0.2,0.3,7.8,1.8,0.9
"Otu34",29,62,0.3,0.2,0.3,8,1.8,0.9
