Sample,Plot,Fire,Burn,Infection
ITS1POST60101,Plot601,Postfire,Burned,Infected
ITS1POST60102,Plot601,Postfire,Burned,Infected
ITS1POST60103,Plot601,Postfire,Burned,Infected
ITS1POST60104,Plot601,Postfire,Burned,Infected
ITS1POST60105,Plot601,Postfire,Burned,Infected
ITS1POST60106,Plot601,Postfire,Burned,Infected
ITS1POST60107,Plot601,Postfire,Burned,Infected
ITS1POST60108,Plot601,Postfire,Burned,Infected
ITS1POST60109,Plot601,Postfire,Burned,Infected
ITS1POST60110,Plot601,Postfire,Burned,Infected
ITS1POST60111,Plot601,Postfire,Burned,Infected
ITS1POST60112,Plot601,Postfire,Burned,Infected
ITS1POST60301,Plot603,Postfire,Burned,Infected
ITS1POST60302,Plot603,Postfire,Burned,Infected
ITS1POST60304,Plot603,Postfire,Burned,Infected
ITS1POST60305,Plot603,Postfire,Burned,Infected
ITS1POST60306,Plot603,Postfire,Burned,Infected
ITS1POST60307,Plot603,Postfire,Burned,Infected
ITS1POST60308,Plot603,Postfire,Burned,Infected
ITS1POST60309,Plot603,Postfire,Burned,Infected
ITS1POST60310,Plot603,Postfire,Burned,Infected
ITS1POST60311,Plot603,Postfire,Burned,Infected
ITS1PRE60101,Plot601,Prefire,Burned,Infected
ITS1PRE60102,Plot601,Prefire,Burned,Infected
ITS1PRE60103,Plot601,Prefire,Burned,Infected
ITS1PRE60104,Plot601,Prefire,Burned,Infected
ITS1PRE60105,Plot601,Prefire,Burned,Infected
ITS1PRE60106,Plot601,Prefire,Burned,Infected
ITS1PRE60107,Plot601,Prefire,Burned,Infected
ITS1PRE60108,Plot601,Prefire,Burned,Infected
ITS1PRE60109,Plot601,Prefire,Burned,Infected
ITS1PRE60110,Plot601,Prefire,Burned,Infected
ITS1PRE60111,Plot601,Prefire,Burned,Infected
ITS1PRE60112,Plot601,Prefire,Burned,Infected
ITS1PRE60301,Plot603,Prefire,Burned,Infected
ITS1PRE60302,Plot603,Prefire,Burned,Infected
ITS1PRE60304,Plot603,Prefire,Burned,Infected
ITS1PRE60305,Plot603,Prefire,Burned,Infected
ITS1PRE60306,Plot603,Prefire,Burned,Infected
ITS1PRE60307,Plot603,Prefire,Burned,Infected
ITS1PRE60308,Plot603,Prefire,Burned,Infected
ITS1PRE60309,Plot603,Prefire,Burned,Infected
ITS1PRE60310,Plot603,Prefire,Burned,Infected
ITS1PRE60311,Plot603,Prefire,Burned,Infected
ITS1PRE60312,Plot603,Prefire,Burned,Infected
