id,Phylum,Class,Order,Family,Genus,Species,sumseq,percentseq,sumsamp,rank,Fire
Otu13,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,Hygrocybe,s__Hygrocybe_acutoconica_var._microspora,74181,5.946415645,22,16,prefire
Otu17,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,Hygrocybe,s__unidentified,64710,5.187211771,17,67,prefire
Otu23,Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,Mortierella,s__Mortierella_bainieri,57632,4.619832929,23,1,prefire
Otu57,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,Inocybe,s__Inocybe_flocculosa,25323,2.029914444,8,273,prefire
Otu26,Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,Mortierella,s__Mortierella_angusta,25071,2.009713898,14,101,prefire
Otu12,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,Hygrocybe,s__Hygrocybe_conica,23645,1.895404456,23,2,prefire
Otu40,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Agaricaceae,Cystolepiota,s__Cystolepiota_bucknallii,22652,1.815804683,11,160,prefire
Otu32,Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,Cladophialophora,s__unidentified,22338,1.790634161,23,3,prefire
Otu89,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Tricholomataceae,Xeromphalina,s__Xeromphalina_cauticinalis,22240,1.782778393,17,68,prefire
Otu9,Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,Mortierella,s__Mortierella_elongata,21322,1.709190688,22,17,prefire
Otu78,Basidiomycota,c__Agaricomycetes,o__Auriculariales,f__unidentified,Protomerulius,s__Protomerulius_sp.VM-2019a,20038,1.606264093,10,189,prefire
Otu64,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Inocybaceae,Inocybe,s__unidentified,18348,1.470792174,6,385,prefire
Otu63,Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,Tomentella,s__Tomentella_fuscocinerea,16465,1.319849201,6,386,prefire
Otu60,Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,Mortierella,s__Mortierella_horticola,15272,1.224217249,23,4,prefire
Otu41,unidentified,c__unidentified,o__unidentified,f__unidentified,unidentified,s__unidentified,14747,1.182132777,12,133,prefire
Otu53,Ascomycota,c__Leotiomycetes,o__Helotiales,f__unidentified,Polyphilus,s__Polyphilus_frankenii,13988,1.121290655,23,5,prefire
Otu3750,Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,Mortierella,s__Mortierella_amoeboidea,13971,1.119927919,23,6,prefire
Otu49,Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,Cylindrodendrum,s_Cylindrodendrum_hubeiense,13784,1.104937831,11,161,prefire
Otu156,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lyophyllaceae,Lyophyllum,s__Lyophyllum_semitale,12921,1.035758975,11,162,prefire
Otu70,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,Clavaria,s__Clavaria_fragilis,12829,1.028384173,10,190,prefire
Otu100,Basidiomycota,c__unidentified,o__unidentified,f__unidentified,Ramariopsis,s_Ramariopsis_sp,12639,1.013153602,12,134,prefire
Otu1,Basidiomycota,c__Geminibasidiomycetes,o__Geminibasidiales,f__Geminibasidiaceae,Basidioascus,s__Basidioascus_undulatus,641604,28.2,23,7,postfire
Otu2,Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,Tricharina,s__Tricharina_praecox,309087,13.6,24,1,postfire
Otu6,Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,Penicillium,s__Penicillium_decumbens,274875,12.1,24,2,postfire
Otu8,Ascomycota,c__unidentified,o__unidentified,f__unidentified,Peziza,s__Peziza_vacinii,231971,10.2,24,3,postfire
Otu4,Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,Anthracobia,s_Anthracobia_sp,173082,7.6,23,8,postfire
Otu5,Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,Scutellinia,s__Scutellinia_vitreola,164856,7.2,24,4,postfire
Otu7,Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,Pyronema,s__Pyronema_domesticum,95712,4.2,22,14,postfire
Otu16,Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Lyophyllaceae,Lyophyllum,s__Lyophyllum_semitale,58254,2.6,22,15,postfire
Otu29,Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pyronemataceae,Anthracobia,s__Anthracobia_melaloma,27824,1.2,22,16,postfire
Otu20,Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,Fusarium,s__Fusarium_acutatum,26845,1.2,24,5,postfire
Otu103,Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,Penicillium,s__Penicillium_oregonense,23034,1,22,17,postfire
