,otu.H,otu.N1,otu.N2,S.obs,S.chao1,se.chao1,S.ACE,se.ACE,Plot,Fire,Burn,Infection
16SPOST05801,6.673595678,791.2355241,271.2274456,2237,3737.468514,124.1438368,3890.536351,37.49758676,Plot58,Postfire,Unburned,Uninfected
16SPOST05802,6.682274159,798.1321292,292.4616622,2179,3521.401015,113.6500131,3661.868508,34.92725752,Plot58,Postfire,Unburned,Uninfected
16SPOST05803,6.285048388,536.4902498,98.57811289,1875,3049.909657,108.7345702,3151.510725,32.47589291,Plot58,Postfire,Unburned,Uninfected
16SPOST05804,6.329428912,560.8362157,131.9787961,1993,3429.701183,126.1254741,3550.640135,36.42195707,Plot58,Postfire,Unburned,Uninfected
16SPOST05805,6.272518444,529.809996,73.408213,1972,3350.249231,123.4386641,3380.55528,34.40492553,Plot58,Postfire,Unburned,Uninfected
16SPOST05806,6.760427471,863.011029,307.0100152,2347,3924.813397,127.2536407,4066.339587,38.3702318,Plot58,Postfire,Unburned,Uninfected
16SPOST05807,6.834991149,929.8201212,312.7582726,2410,4120.42891,135.5374082,4346.235235,40.27583245,Plot58,Postfire,Unburned,Uninfected
16SPOST05808,6.587084029,725.6617733,156.5994743,2189,3489.635678,110.4257215,3623.294801,35.28192989,Plot58,Postfire,Unburned,Uninfected
16SPOST05809,6.561573431,707.3838389,217.7633156,2184,3850.71547,139.4251757,3948.241562,38.4622486,Plot58,Postfire,Unburned,Uninfected
16SPOST05810,6.659575909,780.2199823,229.9332053,2251,3880.671088,135.0682818,3984.669029,37.81946484,Plot58,Postfire,Unburned,Uninfected
16SPOST05811,6.672193128,790.1265545,274.1764199,2209,3653.437173,121.8199342,3706.408769,36.14564486,Plot58,Postfire,Unburned,Uninfected
16SPOST05812,6.791089989,889.8829957,272.6282454,2406,4182.112219,142.1274253,4166.67209,38.59648081,Plot58,Postfire,Unburned,Uninfected
16SPRE05801,6.722545499,830.9299534,309.2681108,2282,3810.323383,125.525434,3990.427385,39.32451909,Plot58,Prefire,Unburned,Uninfected
16SPRE05802,6.675780879,792.9664232,295.3907882,2201,3624.714286,119.4120112,3775.709851,36.70152288,Plot58,Prefire,Unburned,Uninfected
16SPRE05803,6.710155774,820.6984729,286.8676788,2260,3800.839695,127.2794461,3970.07,38.01719962,Plot58,Prefire,Unburned,Uninfected
16SPRE05804,6.624985637,753.6933875,301.7909234,2023,3063.345745,93.8539694,3180.232485,31.79779809,Plot58,Prefire,Unburned,Uninfected
16SPRE05805,6.284976084,536.4514609,77.40406226,1957,3191.61194,111.7072845,3251.026393,32.84031597,Plot58,Prefire,Unburned,Uninfected
16SPRE05806,6.665225987,784.6407634,284.391534,2242,3799.398964,129.1391876,3925.986477,38.48330177,Plot58,Prefire,Unburned,Uninfected
16SPRE05807,6.521022017,679.2722587,244.2401184,2018,3359.592262,119.4520117,3401.483742,34.03364901,Plot58,Prefire,Unburned,Uninfected
16SPRE05808,6.58917928,727.1838108,258.6106067,2086,3304.171429,105.8042522,3477.541999,34.39959249,Plot58,Prefire,Unburned,Uninfected
16SPRE05809,6.731989299,838.8142599,267.3040921,2270,3790.319261,127.3550352,3800.517284,35.70260989,Plot58,Prefire,Unburned,Uninfected
16SPRE05810,6.764110625,866.1954928,293.347733,2376,4025.47981,131.664144,4260.430743,40.34590427,Plot58,Prefire,Unburned,Uninfected
16SPRE05811,6.70855371,819.3847138,334.1760356,2129,3213.615,95.24987921,3345.815745,33.04883987,Plot58,Prefire,Unburned,Uninfected
16SPRE05812,6.746250659,850.8626002,290.9037707,2353,4084.578947,139.408184,4192.922427,39.61089212,Plot58,Prefire,Unburned,Uninfected
