,otu.H,otu.N1,otu.N2,S.obs,S.chao1,se.chao1,S.ACE,se.ACE,Plot,Fire,Burn,Infection
16SPOST60101,5.260064531,192.4939127,41.2288591,1256,1979.506787,82.38515859,2056.439138,26.47103105,Plot601,Postfire,Burned,Infected
16SPOST60102,5.842247078,344.5527083,74.67051362,1561,2396.44863,84.95548526,2550.972842,29.73231434,Plot601,Postfire,Burned,Infected
16SPOST60103,6.069688785,432.5460459,113.8222123,1718,2681.182109,93.27233912,2754.283109,29.72534558,Plot601,Postfire,Burned,Infected
16SPOST60104,4.35104012,77.55909177,29.5066315,632,869.0521739,41.06259949,889.7444324,16.06366285,Plot601,Postfire,Burned,Infected
16SPOST60105,6.146481308,467.0710131,129.8748545,1659,2499.069307,84.38373004,2601.625131,29.73798919,Plot601,Postfire,Burned,Infected
16SPOST60106,6.367291395,582.4779878,224.1423524,1795,2958.410169,110.7918023,3016.833791,32.10095763,Plot601,Postfire,Burned,Infected
16SPOST60107,2.859572443,17.45406274,5.662493594,296,444.1632653,36.31451977,469.3058722,12.87708426,Plot601,Postfire,Burned,Infected
16SPOST60108,5.602250743,271.0357533,68.98587992,1374,2123.066148,80.89397219,2292.152754,28.66110408,Plot601,Postfire,Burned,Infected
16SPOST60109,6.078387251,436.3249443,83.55004894,1788,2792.024096,94.72436049,2961.585792,32.43483883,Plot601,Postfire,Burned,Infected
16SPOST60110,3.343742219,28.3249267,7.657203174,569,856.8252427,49.47711772,878.8405923,17.33807556,Plot601,Postfire,Burned,Infected
16SPOST60111,4.918485928,136.7953384,31.88205341,1087,1813.6,87.41709254,1852.383115,25.78521973,Plot601,Postfire,Burned,Infected
16SPOST60112,5.201189944,181.488074,44.88099934,1212,2046.490196,94.91684996,2113.16377,27.75071183,Plot601,Postfire,Burned,Infected
16SPOST60301,5.359766035,212.6751821,27.92196558,1546,2447.402027,89.94074177,2584.16372,30.19473346,Plot603,Postfire,Burned,Infected
16SPOST60302,6.617467238,748.0480677,260.8438015,2158,3382.867788,103.7803595,3581.47388,35.13480178,Plot603,Postfire,Burned,Infected
16SPOST60303,3.839147309,46.48581951,11.09239239,540,693.1875,30.72459258,705.6469534,13.30812099,Plot603,Postfire,Burned,Infected
16SPOST60304,5.711997349,302.4746126,69.51399824,1273,1615.074219,43.7850998,1680.350241,20.69062525,Plot603,Postfire,Burned,Infected
16SPOST60305,3.558142141,35.09792954,13.9827628,378,485.859375,26.1633233,493.1881232,11.36678475,Plot603,Postfire,Burned,Infected
16SPOST60306,2.925516947,18.64386144,3.706450256,684,1003.951049,48.85365087,1063.103073,18.48206236,Plot603,Postfire,Burned,Infected
16SPOST60307,0.755417795,2.128500614,1.24339636,146,175.64,12.48382712,176.7455118,6.192815218,Plot603,Postfire,Burned,Infected
16SPOST60308,3.403095376,30.0569939,8.491641427,341,391.5384615,15.51154183,394.3857159,9.547642729,Plot603,Postfire,Burned,Infected
16SPOST60309,5.234198496,187.578701,31.69078112,1247,2019.094595,86.72579721,2171.588972,27.91746446,Plot603,Postfire,Burned,Infected
16SPOST60310,5.968380632,390.872192,113.467234,1353,1795.041152,54.13844046,1821.76528,21.83508196,Plot603,Postfire,Burned,Infected
16SPOST60311,3.399848744,29.95956815,13.60536405,222,345.4736842,42.19367449,308.837307,9.164082832,Plot603,Postfire,Burned,Infected
16SPOST60312,3.762712332,43.06507448,17.38788185,238,299.6,21.98314422,287.1654113,8.478195769,Plot603,Postfire,Burned,Infected
16SPRE60101,6.607447874,740.5905248,293.1173182,2039,3137.780488,98.62877858,3222.226163,32.56124597,Plot601,Prefire,Burned,Infected
16SPRE60102,5.974681212,393.3426882,128.3541941,1425,2132.909091,77.67188796,2217.183207,26.46088312,Plot601,Prefire,Burned,Infected
16SPRE60103,6.783780184,883.4018417,345.1771063,2301,3782.62963,122.0968669,3893.806162,37.10854604,Plot601,Prefire,Burned,Infected
16SPRE60104,6.651852823,774.2174851,283.3822158,2156,3316.653012,99.45709832,3525.826763,35.16467177,Plot601,Prefire,Burned,Infected
16SPRE60105,6.735743227,841.9690257,336.3092677,2198,3472.015152,108.7613297,3596.68457,35.26757779,Plot601,Prefire,Burned,Infected
16SPRE60106,6.870298048,963.2356132,394.9489349,2395,3994.233173,128.8606489,4112.847916,37.99457918,Plot601,Prefire,Burned,Infected
16SPRE60107,6.555275877,702.9430486,266.4624274,2035,3372.561404,118.486751,3450.952818,34.79817532,Plot601,Prefire,Burned,Infected
16SPRE60108,6.589679028,727.5473103,290.6284434,1947,2973.383929,96.06920692,2984.717816,30.18361278,Plot601,Prefire,Burned,Infected
16SPRE60109,6.494474388,661.4764536,250.2758083,1919,2989.363636,99.93598833,3020.288279,31.60445809,Plot601,Prefire,Burned,Infected
16SPRE60110,6.704996646,816.4752882,349.1172206,2070,3307.789017,110.8082752,3346.346471,33.04953788,Plot601,Prefire,Burned,Infected
16SPRE60111,6.732851465,839.537769,312.4454952,2265,3851.163588,131.8677792,3952.269649,38.2698024,Plot601,Prefire,Burned,Infected
16SPRE60112,6.7025978,814.5190369,255.895163,2237,3652.631188,117.7387511,3844.665136,36.90940554,Plot601,Prefire,Burned,Infected
16SPRE60301,6.769039227,870.4751629,302.6952957,2381,4247.839378,149.9637762,4267.500911,39.24155187,Plot603,Prefire,Burned,Infected
16SPRE60302,6.72342276,831.6592155,297.4048814,2312,3871.640288,126.1504522,4095.744968,38.39412971,Plot603,Prefire,Burned,Infected
16SPRE60303,6.714165105,823.9955301,288.4181277,2282,3904.431877,133.2206245,4020.284747,37.80408557,Plot603,Prefire,Burned,Infected
16SPRE60304,6.698132942,810.8904313,261.7191056,2256,3856.662269,132.8584432,3946.866711,37.76545894,Plot603,Prefire,Burned,Infected
16SPRE60305,6.735457639,841.7286035,228.6875541,2336,3856,123.9034594,3996.382594,37.56978885,Plot603,Prefire,Burned,Infected
16SPRE60306,6.344335518,569.2590015,176.4967394,1805,2544.125,72.45678646,2656.606901,28.37504256,Plot603,Prefire,Burned,Infected
16SPRE60307,6.485930131,655.8487059,198.999563,2077,3679.958702,137.926801,3800.143032,38.04299403,Plot603,Prefire,Burned,Infected
16SPRE60308,6.702342243,814.3109072,279.0195126,2283,4127.876712,151.2634086,4222.852154,40.02109363,Plot603,Prefire,Burned,Infected
16SPRE60309,6.723638628,831.8387637,298.5200722,2289,3910.825974,133.6237297,3976.117311,38.08280632,Plot603,Prefire,Burned,Infected
16SPRE60310,6.760225122,862.8364177,294.584371,2295,3824.652062,127.0395387,3896.902704,37.18239006,Plot603,Prefire,Burned,Infected
16SPRE60311,6.73519551,841.5079908,249.1918232,2400,4017.721088,127.6941281,4239.748189,40.15194646,Plot603,Prefire,Burned,Infected
16SPRE60312,6.443232965,628.4352284,266.929658,1550,1824.094276,35.66344807,1839.055023,19.33602149,Plot603,Prefire,Burned,Infected
