"","otu.H","otu.N1","otu.N2","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","Plot","Fire","Burn","Infection"
"ITS1POST05801",1.34029872733185,3.82018452846181,3.13008308536538,14,14.5,1.28401981937653,15.301827347196,1.86839370083277,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05802",0.871724743244533,2.39103121415486,1.69033037198823,20,20.75,1.41848343523077,21.618192627824,2.01585340690871,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05803",1.78998885607715,5.98938572075882,5.12886518494958,29,51,17.4407805985486,50.2117647058823,4.20262931285545,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05804",1.00564952769897,2.73368229867248,1.87174331499504,17,18.2,1.83518241749819,20.2727272727273,1.98612748493063,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05805",0.950185977875411,2.58619058882445,1.61984057249929,21,43.5,19.2442520153989,48.7625,3.65407785204492,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05806",1.08907033795769,2.97151028774634,1.76860799713824,20,23.3333333333333,4.10979708729828,24.6305215357094,2.48314951511631,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05807",2.31727862036794,10.1480200791663,5.49219858156028,21,24.5,3.44023546076576,30.495167100617,2.7440378917498,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05808",0.713925923249074,2.04199224757519,1.38036322598173,12,13.2,1.83285834067167,18.9690098261527,2.72704857198668,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05809",3.02826324104217,20.6613176820837,16.8387096774194,28,33,6.01135289567695,30.3882381354909,2.32798645391027,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05810",0.682076728350809,1.97798119949662,1.33858702010663,13,16.3333333333333,4.10133973895372,16.8919667590028,1.89882590275251,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05811",0.569895767917045,1.76808275088092,1.27819988310929,9,9.6,1.17865389321887,13.2708333333333,2.01954580457152,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST05812",1.47561223587564,4.37371269721456,3.39586778356224,13,13.5,1.28290035986172,14,1.6684127245904,"Plot58","Postfire","Unburned","Uninfected"
"ITS1POST60101",1.33217904021012,3.789291416276,3.57142857142857,4,5.5,2.51811617899355,10,0.946486273276913,"Plot601","Postfire","Burned","Infected"
"ITS1POST60102",1.83929674797766,6.29211176441463,4.82857142857143,8,15.5,8.0721294708118,27.0612244897959,2.41205579530966,"Plot601","Postfire","Burned","Infected"
"ITS1POST60103",1.04698037183326,2.84903508940461,1.83556810162315,8,10,2.85579333208052,15.4523076923077,2.10864037817714,"Plot601","Postfire","Burned","Infected"
"ITS1POST60104",1.38629436111989,4,4,4,10,6.97137002317335,NA,NA,"Plot601","Postfire","Burned","Infected"
"ITS1POST60105",1.47507631105469,4.37136934400712,3.76923076923077,5,11,7.01297498796468,17.8888888888889,1.36126043142135,"Plot601","Postfire","Burned","Infected"
"ITS1POST60106",2.31435251153182,10.1183692698473,7.15547703180212,16,25,8.0232474721898,37.6458181818182,4.21999329909977,"Plot601","Postfire","Burned","Infected"
"ITS1POST60107",0.693147180559945,2,2,2,3,2.04124145231932,NA,NA,"Plot601","Postfire","Burned","Infected"
"ITS1POST60108",1.40194545937873,4.0630968727169,3.57142857142857,5,6,2.19848432637882,6.50464919695689,1.02866087951959,"Plot601","Postfire","Burned","Infected"
