,otu.H,otu.N1,otu.N2,S.obs,S.chao1,se.chao1,S.ACE,se.ACE,Plot,Fire,Burn,Infection
ITS1POST05801,3.984098135,53.73680426,28.46910881,321,424.4666667,27.96637568,429.6717881,10.91192401,Plot58,Postfire,Unburned,Uninfected
ITS1POST05802,4.449817565,85.61132408,36.80255032,432,539.1724138,26.75242339,532.0692213,11.69689293,Plot58,Postfire,Unburned,Uninfected
ITS1POST05803,3.661896413,38.93510995,20.36911245,339,487.2222222,37.2790883,468.7468995,11.16241246,Plot58,Postfire,Unburned,Uninfected
ITS1POST05804,2.627138828,13.8341314,6.834347055,168,206.28125,14.22208629,231.4388835,8.632059273,Plot58,Postfire,Unburned,Uninfected
ITS1POST05805,3.257344156,25.98044541,13.94885192,236,351.1612903,34.06830606,340.8327677,10.27168487,Plot58,Postfire,Unburned,Uninfected
ITS1POST05806,3.305660229,27.2665378,9.376075366,286,372.0588235,26.21556147,360.554761,9.86307801,Plot58,Postfire,Unburned,Uninfected
ITS1POST05807,4.336646794,76.45075392,36.58204619,390,467.34375,20.27436208,495.1322968,11.50836537,Plot58,Postfire,Unburned,Uninfected
ITS1POST05808,2.557159342,12.89912323,5.039985525,250,325.2380952,22.21303241,344.1937178,9.983564695,Plot58,Postfire,Unburned,Uninfected
ITS1POST05809,4.20304895,66.88996458,34.98898597,279,300.5769231,9.758673821,295.4044444,8.281002249,Plot58,Postfire,Unburned,Uninfected
ITS1POST05810,3.341486516,28.26110609,8.591010449,266,311.12,17.22064759,295.9979132,8.300871665,Plot58,Postfire,Unburned,Uninfected
ITS1POST05811,2.921697483,18.57278771,8.001875249,207,248.1290323,15.14129695,257.3973605,8.270983041,Plot58,Postfire,Unburned,Uninfected
ITS1POST05812,3.701767371,40.51885297,16.79801861,254,303,18.36271995,289.9312193,8.329115368,Plot58,Postfire,Unburned,Uninfected
ITS1PRE05801,2.645965978,14.09705595,3.838334472,236,266.75,12.47255395,262.5847922,7.754317466,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05802,3.215149329,24.90701096,9.614574143,240,305.2068966,22.03560182,299.4745622,8.829184958,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05803,3.374096134,29.19788089,9.676993549,331,397.7254902,19.22225631,399.7434592,9.760265205,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05804,3.861584684,47.54062859,20.07471718,240,279.4166667,15.68372262,269.7163321,8.025361628,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05805,3.145899927,23.2405809,9.287929137,249,306.2195122,18.10286361,316.8709887,9.100474942,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05806,2.278099341,9.758115919,3.012716481,200,225.5,11.51227696,220.571984,7.151424931,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05807,4.311634422,74.56225559,35.61686045,285,316.0588235,14.3195733,299.3329455,8.410872799,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05808,3.590559009,36.25433676,17.96125456,245,274.1176471,11.41919722,276.2032359,8.057338951,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05809,2.607041106,13.55887218,4.589802395,248,294.1219512,15.36971793,305.2709034,8.847120675,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05810,4.248810038,70.02203916,25.71087338,420,543.2678571,30.1535579,542.023134,11.98791734,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05811,3.364479068,28.91842884,10.23994855,214,226.037037,6.355481475,226.7499437,7.227988272,Plot58,Prefire,Unburned,Uninfected
ITS1PRE05812,4.555922599,95.19454111,50.26599989,331,356.3235294,10.30523582,354.2084588,9.214718013,Plot58,Prefire,Unburned,Uninfected
