,otu.H,otu.N1,otu.N2,S.obs,S.chao1,se.chao1,S.ACE,se.ACE,Plot,Fire,Burn,Infection
ITS1POST60101,1.807836751,6.097243303,3.223541985,151,294.6363636,45.64245364,310.2810042,10.7198552,Plot601,Postfire,Burned,Infected
ITS1POST60102,2.581118355,13.21190551,6.379707478,206,283.9032258,24.88276316,276.5100793,8.552696639,Plot601,Postfire,Burned,Infected
ITS1POST60103,1.838325411,6.286002971,3.97290853,139,192,19.31142057,205.379894,7.65069294,Plot601,Postfire,Burned,Infected
ITS1POST60104,1.614493748,5.025343188,3.203515684,79,128.4,21.40101949,155.5378641,6.969450313,Plot601,Postfire,Burned,Infected
ITS1POST60105,1.596833679,4.937374335,2.401637924,166,229,21.04619945,253.1309476,9.090563041,Plot601,Postfire,Burned,Infected
ITS1POST60106,2.533908579,12.60266852,5.535774084,245,376.3235294,36.84359143,370.8466907,11.01469202,Plot601,Postfire,Burned,Infected
ITS1POST60107,1.249156363,3.487399616,2.910223893,47,146.2,54.22316362,153.2191988,3.733088753,Plot601,Postfire,Burned,Infected
ITS1POST60108,1.322904474,3.754309851,2.193703852,91,118,13.81574644,112.0522432,5.044654471,Plot601,Postfire,Burned,Infected
ITS1POST60109,3.023346819,20.55998722,9.172976198,320,419.6206897,25.2739263,434.3615884,10.9763062,Plot601,Postfire,Burned,Infected
ITS1POST60110,1.527289944,4.605678248,3.14582282,85,167.0909091,35.78248112,179.1079535,7.549726687,Plot601,Postfire,Burned,Infected
ITS1POST60111,1.134633847,3.110034585,1.914332061,74,105.2307692,15.48385452,111.6246375,5.568195617,Plot601,Postfire,Burned,Infected
ITS1POST60112,1.391917074,4.022554199,2.755651333,115,205.5882353,33.78669347,215.5831368,8.610618144,Plot601,Postfire,Burned,Infected
ITS1POST60301,1.803791574,6.072628693,4.000962927,78,112.5,19.27373942,103.518197,5.131739456,Plot603,Postfire,Burned,Infected
ITS1POST60302,3.537967759,34.39694524,16.65793985,174,248,34.97101957,209.6379377,7.275384802,Plot603,Postfire,Burned,Infected
ITS1POST60304,1.386042935,3.998994421,2.900555685,52,106.1666667,30.4977894,129.413192,6.87556698,Plot603,Postfire,Burned,Infected
ITS1POST60305,1.937546292,6.941697159,4.199643072,89,151.1428571,32.66513297,130.3694241,5.967915781,Plot603,Postfire,Burned,Infected
ITS1POST60306,1.900665214,6.690343474,5.385420767,72,195.5,62.00591404,176.518747,7.43272361,Plot603,Postfire,Burned,Infected
ITS1POST60307,1.359392762,3.893828103,2.714158089,76,188.875,52.13901316,193.9211118,9.548788316,Plot603,Postfire,Burned,Infected
