"","NMDS1","NMDS2","r","pval","genera","p.adj"
"g__Absconditella",0.762641661894854,0.646821223787729,0.0273794529848877,0.719,"g__Absconditella",1
"g__Acarospora",-0.618706186670651,-0.785622463130645,0.00042965728573659,0.995,"g__Acarospora",1
"g__Acremonium",0.58326151534463,-0.812284435846142,0.168303638073962,0.019,"g__Acremonium",0.209
"g__Acrophialophora",0,0,0,1,"g__Acrophialophora",1
"g__Acrostalagmus",0,0,0,1,"g__Acrostalagmus",1
"g__Aequabiliella",0.951022018397967,0.309123147826651,0.0539764774966869,0.321,"g__Aequabiliella",0.849227848101266
"g__Agaricus",0.798110853532867,0.602510635153471,0.0248134708124859,0.816,"g__Agaricus",1
"g__Ajellomyces",-0.551025590628481,-0.834488345318575,0.0304724820966391,0.635,"g__Ajellomyces",1
"g__Alatospora",0.870155103526995,-0.492777937620917,0.153230564257091,0.032,"g__Alatospora",0.308676923076923
"g__Alboleptonia",0.298876523013798,0.954291791849423,0.123984458978186,0.036,"g__Alboleptonia",0.327130434782609
"g__Aleurodiscus",0.9961169921817,0.0880394109866903,0.0243578101117686,0.847,"g__Aleurodiscus",1
"g__Alpestrisphaeria",0.558199784766795,-0.829706574812026,0.0685231772477983,0.157,"g__Alpestrisphaeria",0.619994413407821
"g__Alternaria",0.183634902547931,0.982994518075361,0.0385145868384301,0.45,"g__Alternaria",0.99
"g__Amanita",0.739527530528457,0.673126311765096,0.0357757730563306,0.488,"g__Amanita",1
"g__Amaurodon",0.558807399518811,-0.829297467886539,0.0265214663152049,0.707,"g__Amaurodon",1
"g__Ambispora",0.838721549381613,-0.544560522442553,0.0524783321434118,0.338,"g__Ambispora",0.872123456790123
"g__Amphinema",0.0796205326079644,0.996825245861693,0.276154680749013,0.017,"g__Amphinema",0.209
"g__Amylocorticiellum",0,0,0,1,"g__Amylocorticiellum",1
"g__Angustimassarina",0.753224344505529,-0.657763701373234,0.0356886983330442,0.489,"g__Angustimassarina",1
"g__Antennariella",0,0,0,1,"g__Antennariella",1
"g__Anthostomella",0,0,0,1,"g__Anthostomella",1
"g__Anthracobia",-0.984297861262852,-0.176515495958218,0.11836077136492,0.074,"g__Anthracobia",0.468666666666667
"g__Antrodia",0.0796205326079645,0.996825245861693,0.276154680749013,0.017,"g__Antrodia",0.209
