"","16SPOST05801","16SPOST05802","16SPOST05803","16SPOST05804","16SPOST05805","16SPOST05806","16SPOST05807","16SPOST05808","16SPOST05809","16SPOST05810","16SPOST05811","16SPOST05812","16SPOST60101","16SPOST60102","16SPOST60103","16SPOST60104","16SPOST60105","16SPOST60106","16SPOST60107","16SPOST60108","16SPOST60109","16SPOST60110","16SPOST60111","16SPOST60112","16SPOST60301","16SPOST60302","16SPOST60303","16SPOST60304","16SPOST60305","16SPOST60306","16SPOST60307","16SPOST60308","16SPOST60309","16SPOST60310","16SPOST60311","16SPOST60312","16SPRE05801","16SPRE05802","16SPRE05803","16SPRE05804","16SPRE05805","16SPRE05806","16SPRE05807","16SPRE05808","16SPRE05809","16SPRE05810","16SPRE05811","16SPRE05812","16SPRE60101","16SPRE60102","16SPRE60103","16SPRE60104","16SPRE60105","16SPRE60106","16SPRE60107","16SPRE60108","16SPRE60109","16SPRE60110","16SPRE60111","16SPRE60112","16SPRE60301","16SPRE60302","16SPRE60303","16SPRE60304","16SPRE60305","16SPRE60306","16SPRE60307","16SPRE60308","16SPRE60309","16SPRE60310","16SPRE60311","16SPRE60312"
"Otu4184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu750",23,2,1,0,0,0,0,0,0,1,1,0,0,0,0,8,7,1,19,0,1,4,0,4,3,2,0,1,2,4,1,11,4,3,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu207",3,1,3,0,0,5,1,1,1,3,3,7,1,0,0,0,1,1,0,3,9,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,3,7,4,6,1,3,4,2,6,6,4,9,4,1,8,3,4,0,3,12,11,12,1,2,2,1,12,32,18,0,20,3,6,1,6,1
"Otu12",92,63,128,54,19,130,72,30,92,29,114,45,40,6,55,35,52,50,31,34,43,23,50,21,32,28,26,35,9,5,3,8,39,96,110,1,162,100,78,143,8,162,180,28,115,88,94,104,31,0,20,21,49,29,37,32,15,32,18,10,39,25,57,26,9,14,4,7,34,12,7,9
"Otu27",79,54,124,63,89,77,66,82,46,39,91,51,10,40,37,11,40,42,0,48,43,9,36,55,18,26,1,36,5,2,0,0,8,51,4,0,96,69,117,101,81,78,135,70,122,105,91,57,81,38,131,88,81,69,83,114,84,89,93,83,84,87,64,90,40,53,96,94,103,77,124,66
"Otu44",174,97,64,47,12,73,54,33,121,61,34,49,3,4,7,0,4,15,1,5,3,2,8,7,9,13,10,5,4,0,0,0,4,40,1,3,52,81,42,68,36,30,96,17,194,63,48,44,12,14,12,17,43,15,14,22,12,11,14,17,19,15,23,47,12,31,19,8,15,19,12,29
"Otu5039",1,1,0,0,0,6,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu9",24,38,45,11,9,31,47,27,20,18,22,23,355,66,172,541,203,67,31,659,80,301,1271,1155,44,19,7,171,190,63,2,22,72,77,66,288,22,16,19,23,21,23,18,20,15,37,15,20,13,2,9,15,11,8,12,18,20,15,37,37,26,24,34,39,20,21,17,13,21,21,11,20
"Otu1596",0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,2,1,1,0,1,2,0,1,0,0,0,0,0,3,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,4,0,2,0,1,1,0,1,1,0,2,0,0,2,0,2,0,0
"Otu6",43,162,12,96,106,164,33,68,193,109,19,26,963,199,432,706,295,264,4136,360,877,796,435,327,312,92,2736,515,1244,529,144,1545,363,455,1434,1669,17,19,10,27,19,60,22,21,11,10,23,20,16,8,0,6,10,12,3,8,6,22,13,9,4,10,4,1,4,10,1,7,2,3,4,7
"Otu242",7,8,16,15,7,1,6,6,4,7,2,3,4,0,4,2,0,1,2,2,0,0,6,1,1,1,11,0,3,3,0,1,6,2,11,0,12,8,8,11,7,14,19,8,8,7,22,16,1,0,3,1,1,2,1,0,0,1,2,2,1,1,1,1,1,0,0,2,2,0,2,3
"Otu414",2,2,1,4,6,5,8,4,6,4,6,3,1,2,1,2,1,0,0,4,0,0,0,1,2,4,0,1,0,0,0,1,1,0,0,0,9,8,3,9,1,7,0,1,5,3,6,5,10,0,17,11,6,9,4,18,13,19,9,8,10,10,10,19,13,1,2,4,6,6,6,6
"Otu843",0,3,1,3,0,0,1,2,4,2,16,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,10,3,2,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"Otu43",56,57,39,45,39,48,33,44,45,45,65,48,29,39,49,5,48,56,0,42,52,12,27,35,33,47,2,39,1,17,0,1,35,20,0,1,64,85,92,110,70,92,59,73,70,72,77,102,122,37,131,111,146,86,126,134,109,106,126,58,91,59,62,68,118,91,49,74,83,85,66,103
"Otu8445",3,2,2,0,0,2,2,2,0,1,0,0,0,0,0,7,2,0,0,1,1,1,1,3,0,1,0,1,0,0,0,1,1,7,0,0,0,0,1,1,1,0,1,0,0,1,0,2,0,65,2,0,0,0,0,1,0,0,1,3,1,0,1,7,1,2,8,3,0,8,3,0
"Otu625",3,7,4,5,2,8,3,1,0,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,5,4,1,4,5,3,9,7,16,1,1,1,3,1,0,2,0,3,1,3,0,2,1,3,0,3,1,1,0,4,0,2,6,0
"Otu329",16,20,6,4,8,9,15,4,3,6,16,9,5,5,2,4,6,6,1,20,7,2,7,20,2,2,0,2,0,0,0,0,0,0,0,0,12,25,8,11,4,13,11,7,8,16,12,13,10,2,7,13,9,5,14,23,31,12,7,3,7,6,16,38,20,6,44,19,13,2,15,9
"Otu389",1,1,1,1,0,0,0,1,0,1,1,1,0,0,3,2,2,0,11,0,0,1,1,2,0,0,19,4,11,2,36,3,0,9,77,34,0,1,0,0,0,1,5,3,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7,0,1,2,0,0,13
"Otu20",4,10,15,19,16,49,36,93,18,153,1,41,9,44,119,1,52,37,0,13,38,0,26,9,133,280,0,149,10,20,0,0,52,66,0,0,7,16,9,4,38,22,5,64,0,31,4,41,10,9,23,18,20,31,3,1,2,1,30,33,103,91,5,19,140,371,8,39,25,131,47,15
"Otu38",67,40,18,63,33,53,60,99,70,80,117,69,22,34,38,4,60,71,1,7,42,8,5,5,15,73,3,13,14,11,0,4,18,19,0,4,58,70,54,57,25,52,68,61,18,48,51,39,77,7,79,59,72,65,54,36,40,39,45,36,49,56,23,22,27,46,15,30,43,58,28,65
"Otu3221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"Otu902",10,3,0,1,3,1,2,6,4,7,18,5,2,0,2,0,6,2,0,0,2,0,0,1,0,6,1,0,0,0,0,0,1,0,0,0,1,5,2,0,0,2,0,3,4,5,2,4,5,0,4,6,1,10,1,1,1,0,2,1,4,5,3,0,1,5,1,9,9,2,1,3
"Otu620",14,6,3,4,23,15,8,9,25,44,29,14,0,3,5,0,29,32,0,2,9,0,1,1,51,70,12,3,0,8,0,3,48,5,0,0,8,15,22,9,21,14,36,24,10,37,16,51,5,1,5,4,24,20,5,3,1,5,3,3,24,51,9,0,9,39,2,43,3,60,19,86
"Otu109",22,15,4,12,5,20,22,7,8,13,19,22,6,8,8,2,9,13,0,6,7,0,0,4,14,7,0,16,0,0,0,0,5,4,0,0,20,17,19,20,8,4,14,10,26,14,9,8,8,10,10,26,10,18,11,17,19,17,11,6,12,17,18,35,41,1,57,47,51,6,46,30
"Otu143",14,37,39,18,51,9,23,10,11,15,15,15,5,18,20,24,8,19,11,40,23,28,17,35,28,18,1,54,104,10,1,3,13,15,37,0,23,19,10,12,23,13,8,8,10,10,16,12,3,0,3,8,6,2,5,2,2,2,0,7,7,13,22,4,17,27,50,8,4,9,17,11
"Otu90",15,28,6,6,10,11,10,26,15,24,10,15,5,2,8,1,15,13,0,11,13,0,1,4,7,17,1,7,0,0,0,0,0,0,0,0,6,8,10,34,1,7,8,1,15,16,5,13,10,0,14,10,6,22,11,13,14,7,15,13,9,24,6,16,13,13,6,4,10,7,2,19
"Otu457",3,1,1,0,3,1,0,0,2,1,4,0,4,1,3,1,8,9,1,3,0,0,0,0,12,5,0,6,0,1,0,0,5,0,0,0,1,1,0,0,0,2,0,0,8,5,1,2,4,0,7,4,10,5,5,6,1,2,8,3,12,8,9,3,3,4,5,5,2,6,1,8
"Otu177",15,12,3,2,3,14,7,3,13,11,17,8,2,4,3,0,4,3,0,2,2,0,3,2,0,3,0,8,0,12,0,0,1,9,2,0,7,30,12,20,4,17,31,22,15,15,20,18,11,4,2,8,11,6,4,7,13,11,9,6,16,5,18,39,22,8,44,16,17,6,11,8
"Otu3524",0,1,0,1,0,1,3,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Otu3107",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,2,0,1,0,2,1,0,0,0,0,1,1,0
"Otu444",6,0,2,1,8,2,2,1,0,0,16,3,0,0,1,0,0,0,0,0,3,0,0,0,5,0,0,6,1,1,0,0,1,0,0,0,4,5,4,5,0,7,1,0,10,4,3,4,1,1,2,1,1,8,7,5,5,4,0,3,23,8,25,18,13,1,37,14,17,6,4,4
"Otu2652",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Otu4239",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu108",0,15,2,10,9,6,7,23,8,24,2,13,54,21,53,29,65,103,2,41,59,21,27,51,3,10,0,3,0,5,0,1,57,10,0,0,11,46,4,7,13,17,14,39,0,15,23,17,38,1,20,38,52,32,33,39,39,22,39,14,7,6,3,1,3,16,0,2,11,3,0,8
"Otu7224",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu4057",0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu274",3,4,1,4,14,6,3,10,9,12,5,8,11,20,12,5,44,26,0,11,20,1,4,4,15,14,0,15,6,0,0,0,31,10,0,0,9,10,6,4,27,6,6,19,0,11,8,18,22,1,25,36,23,23,17,19,12,20,26,23,7,16,2,4,16,33,8,28,11,16,12,36
"Otu357",1,2,5,1,3,2,1,0,0,0,5,3,2,2,1,0,3,4,1,1,2,0,2,4,4,5,2,1,0,1,0,0,1,0,0,0,7,2,9,4,3,10,1,0,5,6,7,4,2,0,5,6,13,3,3,13,7,7,5,2,8,6,12,12,2,1,20,6,16,2,5,0
"Otu13143",1,2,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,5,4,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"Otu322",8,2,2,4,3,2,2,1,7,2,6,5,9,9,6,3,15,14,2,7,5,0,6,10,4,5,0,10,1,1,3,0,5,1,0,0,12,8,3,3,2,7,1,2,21,5,8,7,12,1,10,26,27,5,20,37,20,12,17,4,24,17,39,37,21,3,44,35,30,18,13,4
"Otu73",102,23,39,64,41,55,39,22,60,50,114,54,3,7,9,4,12,13,0,12,18,0,10,8,8,32,3,29,7,5,0,4,16,22,0,0,110,81,90,108,41,93,94,45,227,69,107,56,21,35,51,33,38,50,22,34,36,33,36,31,71,78,69,84,61,47,83,61,111,65,106,77
"Otu79",9,7,17,3,20,10,18,8,7,4,21,12,2,3,3,0,1,0,0,3,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,10,12,7,14,40,9,12,21,30,17,24,26,10,22,40,25,13,39,19,40,58,48,38,65,15,10,45,69,41,3,73,9,35,7,40,12
"Otu6405",0,0,0,0,2,0,2,1,0,4,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,2,1,1,1,0,2,10,0,0,1,1,1,1,2,2,2,3,0,0,1,0,0,3,3,0,2,3,0
"Otu1163",0,1,0,6,0,1,3,4,1,0,1,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"Otu119",16,22,88,17,50,37,20,20,18,20,27,16,3,2,9,1,5,14,0,9,1,3,0,0,6,14,0,21,0,0,0,0,9,9,0,6,20,16,42,34,110,16,28,28,20,41,34,26,5,21,8,13,5,15,7,8,3,7,11,45,24,36,20,18,37,25,15,26,19,21,64,20
"Otu334",14,10,4,8,7,17,34,9,5,3,16,18,0,0,7,0,0,1,0,2,3,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,15,9,10,15,16,9,5,15,8,13,7,3,3,12,6,4,9,14,7,12,7,16,6,18,21,9,24,42,6,4,34,11,23,5,16,9
"Otu1928",0,0,1,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,3,0,1,2,1,0,4,3,0,0,0,0,2,0,0,0,1,0,1,0
"Otu42",7,8,12,35,14,10,2,3,8,18,21,13,6,6,6,6,10,25,0,4,7,0,3,2,21,37,78,15,5,3,0,12,31,12,20,5,20,19,15,16,6,10,7,9,3,12,16,24,30,0,30,22,28,32,28,7,3,16,18,26,28,31,9,1,15,36,9,33,27,18,11,25
"Otu582",1,0,1,0,2,0,0,4,5,8,0,1,0,2,1,1,3,1,0,3,7,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,3,1,1,0,2,3,0,1,1,2,0,2,7,0,4,10,1,2,7,3,4,2,1,4,5,5,2,3,2,2,3,6,2,3,3,0
"Otu15",62,53,23,51,46,57,64,75,81,117,81,65,57,133,68,4,116,130,4,40,118,6,31,21,36,90,2,32,13,22,0,2,44,35,1,2,60,54,61,39,41,55,22,61,34,67,55,73,165,46,164,226,131,157,195,111,99,130,148,112,108,123,70,33,80,126,41,93,81,125,71,175
"Otu342",98,27,0,0,1,0,32,9,0,11,13,98,1,0,5,0,0,0,0,2,1,0,1,3,0,0,0,3,0,2,0,0,0,0,6,0,5,19,4,12,0,0,107,1,2,8,23,39,2,0,1,0,1,2,0,0,1,0,0,1,0,1,9,5,2,0,14,9,18,1,4,0
"Otu10970",17,19,6,26,16,33,19,29,21,42,22,34,23,20,10,3,20,26,0,10,31,3,4,9,20,34,3,13,10,7,0,0,13,7,0,0,22,33,18,21,14,42,13,14,12,24,33,26,38,6,39,55,45,49,41,48,165,22,34,14,56,39,46,19,8,28,22,22,41,33,17,57
"Otu5",250,260,924,146,1082,215,342,225,268,163,292,166,48,81,103,88,61,105,2,179,96,28,140,141,34,81,6,136,30,48,0,20,40,236,1,5,228,185,245,236,1040,161,265,232,302,261,181,181,118,285,145,129,110,115,108,137,101,125,166,389,277,241,153,309,456,314,390,309,234,320,363,165
"Otu75",46,84,28,121,88,65,73,173,155,133,140,149,2,19,27,2,34,64,1,3,33,2,5,5,36,106,3,65,2,9,1,0,23,5,0,0,38,97,73,54,9,85,96,101,48,76,19,101,18,1,29,18,21,42,13,10,39,9,19,9,36,49,28,21,44,80,19,43,37,58,29,88
"Otu233",23,21,21,3,15,32,61,18,22,20,7,51,0,7,25,0,2,9,0,0,8,2,3,1,6,23,0,6,0,11,0,0,1,14,0,0,10,21,27,3,2,5,2,8,7,12,13,7,6,20,15,2,6,26,5,2,1,3,9,13,8,6,11,4,3,23,7,18,11,33,5,11
"Otu714",0,0,3,1,4,3,1,1,2,6,0,1,0,3,7,4,4,4,0,0,10,3,4,5,5,6,0,0,3,1,0,0,18,9,0,0,4,0,0,0,0,3,3,1,0,1,0,2,2,0,0,1,0,0,3,0,0,0,4,0,3,2,1,0,1,0,4,3,2,2,1,4
"Otu164",5,15,12,14,16,24,17,50,37,43,48,45,4,4,7,0,8,6,0,1,3,0,0,0,13,21,1,12,0,1,0,1,91,1,0,0,22,26,10,5,23,24,20,90,5,16,3,36,4,0,7,1,2,8,1,0,0,3,4,2,13,13,5,0,21,30,2,6,17,7,9,30
"Otu16473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu16",47,203,138,141,124,180,152,677,306,438,64,390,8,10,42,4,27,35,1,17,15,3,1,4,34,156,1,51,2,14,14,0,76,37,1,1,123,199,233,64,172,180,93,307,95,200,53,286,31,8,33,22,19,84,21,30,84,16,35,20,71,105,68,42,99,117,22,119,82,100,117,102
"Otu599",11,2,2,0,0,3,16,3,1,1,0,15,0,6,1,0,3,3,0,1,4,1,1,3,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,3,6,1,4,0,4,6,6,6,5,5,9,21,15,36,29,5,1,1,3,21,9,4,3,1,8,1,2,1
"Otu1078",5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,1,0,0,8,1,0,1,2,0,0,4,2,0,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Otu5564",0,2,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Otu2052",3,2,3,4,1,4,3,0,3,5,3,2,1,0,0,0,2,1,0,0,1,1,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,7,1,2,0,0,3,2,0,2,0,1,2,1,0,2,0,0,2,0,3,0,5,1,1,2,0,0,1,1,1,1,0
"Otu144",17,46,28,39,9,72,34,55,87,46,3,53,0,0,8,0,1,0,0,0,0,0,0,0,0,31,0,2,0,0,0,7,6,3,0,0,43,11,33,50,0,27,11,17,18,17,9,14,4,0,4,0,1,1,0,0,0,0,1,0,9,13,4,7,4,7,1,4,3,7,3,7
"Otu16772",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1
"Otu1137",10,2,0,1,4,6,4,2,3,1,30,2,0,4,0,0,2,8,1,0,1,0,3,2,1,3,0,4,0,0,0,0,0,0,0,0,6,2,1,5,4,0,0,2,1,4,5,0,7,0,4,6,3,2,4,1,1,3,3,10,1,7,3,4,4,5,1,5,2,4,2,0
"Otu2386",0,3,1,0,0,2,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,1,1,0,0,0,0,2,0,0
"Otu3915",25,17,7,28,5,17,12,20,29,16,36,24,5,5,8,1,12,15,0,9,3,0,3,5,10,5,3,7,0,0,0,0,4,0,0,0,23,45,14,31,5,36,31,42,27,29,33,35,1,1,3,5,19,7,4,12,15,5,6,5,9,4,15,15,10,11,1,5,12,4,3,29
"Otu1335",1,2,0,0,2,2,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,4,2,0,1,1,0,0,0,0,4,1,3,2,0,0,0,1,5,0,0,7,1,0,0,1,0
"Otu14169",3,2,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,1,5,0,0,7,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Otu311",20,2,4,0,0,0,0,2,4,0,0,1,0,2,0,23,12,5,23,2,2,0,1,0,34,2,13,8,13,0,17,13,5,3,79,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Otu2160",1,0,1,0,2,0,1,0,2,2,0,0,1,4,1,2,0,1,0,1,4,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,1,1,0,3,2,1,2,3,2,0,2,0,0,1,1,2,0,0,0,3,0,0,1,0,0
"Otu93",40,53,49,13,27,30,48,38,32,29,37,42,11,18,15,0,18,23,0,20,23,2,10,11,4,9,2,7,1,3,1,0,9,19,0,1,52,62,33,67,32,54,79,39,65,43,51,69,36,22,41,45,53,24,34,70,68,62,57,41,31,22,40,74,45,33,32,23,21,26,22,20
"Otu32",12,12,4,12,7,8,5,9,16,6,20,14,43,45,68,35,73,91,1,61,83,8,53,70,55,26,4,37,3,9,0,0,32,7,1,4,6,7,9,9,2,12,8,6,3,14,19,13,55,0,45,57,90,63,39,73,38,41,62,31,33,25,38,35,35,21,35,41,45,17,30,23
"Otu819",7,6,8,1,11,3,16,10,11,2,9,24,1,0,3,3,1,1,0,5,0,0,3,2,1,0,5,10,59,4,60,0,1,4,34,0,1,1,2,3,6,2,1,1,2,3,8,6,1,0,0,3,0,3,0,1,0,2,1,1,0,1,0,2,5,1,3,2,6,0,4,1
"Otu17998",0,3,5,4,0,0,0,0,3,1,0,4,2,0,3,0,2,3,0,1,1,0,0,0,2,8,17,2,0,0,0,0,1,6,7,0,2,2,2,5,1,1,1,0,0,1,2,4,2,0,2,1,3,3,0,2,0,2,3,0,4,7,5,1,2,4,0,2,9,4,0,7
"Otu1986",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,4,0,1,2,0,0,1,2,4,1,4,1,1,0,1,1,0,0,2,0
"Otu22",58,85,192,87,52,81,76,35,99,57,39,71,15,9,60,10,54,25,1,17,18,1,22,11,75,83,702,52,82,44,11,27,74,575,23,11,88,41,111,42,14,68,92,46,73,60,40,51,46,2,51,19,36,36,15,9,7,68,45,16,72,57,50,26,51,47,15,70,72,32,50,31
"Otu374",7,9,11,24,8,48,10,25,53,24,22,37,0,0,7,0,0,1,0,0,0,0,0,1,2,15,0,15,0,0,0,0,6,5,0,0,22,22,24,6,0,28,13,20,10,14,9,12,1,0,1,0,0,2,0,0,0,0,0,0,8,13,8,2,4,6,1,0,7,11,11,5
