X,16SPOST60101,16SPOST60102,16SPOST60103,16SPOST60104,16SPOST60105,16SPOST60106,16SPOST60107,16SPOST60108,16SPOST60109,16SPOST60110,16SPOST60111,16SPOST60112,16SPOST60301,16SPOST60302,16SPOST60303,16SPOST60304,16SPOST60305,16SPOST60306,16SPOST60307,16SPOST60308,16SPOST60309,16SPOST60310,16SPOST60311,16SPOST60312,16SPRE60101,16SPRE60102,16SPRE60103,16SPRE60104,16SPRE60105,16SPRE60106,16SPRE60107,16SPRE60108,16SPRE60109,16SPRE60110,16SPRE60111,16SPRE60112,16SPRE60301,16SPRE60302,16SPRE60303,16SPRE60304,16SPRE60305,16SPRE60306,16SPRE60307,16SPRE60308,16SPRE60309,16SPRE60310,16SPRE60311,16SPRE60312,taxon
Otu4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
Otu750,0,0,0,8,7,1,19,0,1,4,0,4,3,2,0,1,2,4,1,11,4,3,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
Otu207,1,0,0,0,1,1,0,3,9,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,4,1,8,3,4,0,3,12,11,12,1,2,2,1,12,32,18,0,20,3,6,1,6,1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__xylanilytica
Otu12,40,6,55,35,52,50,31,34,43,23,50,21,32,28,26,35,9,5,3,8,39,96,110,1,31,0,20,21,49,29,37,32,15,32,18,10,39,25,57,26,9,14,4,7,34,12,7,9,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__; s__
Otu27,10,40,37,11,40,42,0,48,43,9,36,55,18,26,1,36,5,2,0,0,8,51,4,0,81,38,131,88,81,69,83,114,84,89,93,83,84,87,64,90,40,53,96,94,103,77,124,66,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
Otu44,3,4,7,0,4,15,1,5,3,2,8,7,9,13,10,5,4,0,0,0,4,40,1,3,12,14,12,17,43,15,14,22,12,11,14,17,19,15,23,47,12,31,19,8,15,19,12,29,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
Otu5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
Otu9,355,66,172,541,203,67,31,659,80,301,1271,1155,44,19,7,171,190,63,2,22,72,77,66,288,13,2,9,15,11,8,12,18,20,15,37,37,26,24,34,39,20,21,17,13,21,21,11,20,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae
Otu1596,0,1,0,2,1,1,0,1,2,0,1,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,4,0,1,4,0,2,0,1,1,0,1,1,0,2,0,0,2,0,2,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
Otu6,963,199,432,706,295,264,4136,360,877,796,435,327,312,92,2736,515,1244,529,144,1545,363,455,1434,1669,16,8,0,6,10,12,3,8,6,22,13,9,4,10,4,1,4,10,1,7,2,3,4,7,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
Otu242,4,0,4,2,0,1,2,2,0,0,6,1,1,1,11,0,3,3,0,1,6,2,11,0,1,0,3,1,1,2,1,0,0,1,2,2,1,1,1,1,1,0,0,2,2,0,2,3,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
Otu414,1,2,1,2,1,0,0,4,0,0,0,1,2,4,0,1,0,0,0,1,1,0,0,0,10,0,17,11,6,9,4,18,13,19,9,8,10,10,10,19,13,1,2,4,6,6,6,6,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__; s__
Otu843,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
Otu43,29,39,49,5,48,56,0,42,52,12,27,35,33,47,2,39,1,17,0,1,35,20,0,1,122,37,131,111,146,86,126,134,109,106,126,58,91,59,62,68,118,91,49,74,83,85,66,103,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__
Otu8445,0,0,0,7,2,0,0,1,1,1,1,3,0,1,0,1,0,0,0,1,1,7,0,0,0,65,2,0,0,0,0,1,0,0,1,3,1,0,1,7,1,2,8,3,0,8,3,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__
Otu625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,1,0,2,0,3,1,3,0,2,1,3,0,3,1,1,0,4,0,2,6,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__
Otu329,5,5,2,4,6,6,1,20,7,2,7,20,2,2,0,2,0,0,0,0,0,0,0,0,10,2,7,13,9,5,14,23,31,12,7,3,7,6,16,38,20,6,44,19,13,2,15,9,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
Otu389,0,0,3,2,2,0,11,0,0,1,1,2,0,0,19,4,11,2,36,3,0,9,77,34,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7,0,1,2,0,0,13,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
Otu20,9,44,119,1,52,37,0,13,38,0,26,9,133,280,0,149,10,20,0,0,52,66,0,0,10,9,23,18,20,31,3,1,2,1,30,33,103,91,5,19,140,371,8,39,25,131,47,15,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__
Otu38,22,34,38,4,60,71,1,7,42,8,5,5,15,73,3,13,14,11,0,4,18,19,0,4,77,7,79,59,72,65,54,36,40,39,45,36,49,56,23,22,27,46,15,30,43,58,28,65,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
Otu3221,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__
Otu902,2,0,2,0,6,2,0,0,2,0,0,1,0,6,1,0,0,0,0,0,1,0,0,0,5,0,4,6,1,10,1,1,1,0,2,1,4,5,3,0,1,5,1,9,9,2,1,3,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__
Otu620,0,3,5,0,29,32,0,2,9,0,1,1,51,70,12,3,0,8,0,3,48,5,0,0,5,1,5,4,24,20,5,3,1,5,3,3,24,51,9,0,9,39,2,43,3,60,19,86,k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__
Otu109,6,8,8,2,9,13,0,6,7,0,0,4,14,7,0,16,0,0,0,0,5,4,0,0,8,10,10,26,10,18,11,17,19,17,11,6,12,17,18,35,41,1,57,47,51,6,46,30,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__
Otu143,5,18,20,24,8,19,11,40,23,28,17,35,28,18,1,54,104,10,1,3,13,15,37,0,3,0,3,8,6,2,5,2,2,2,0,7,7,13,22,4,17,27,50,8,4,9,17,11,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Kribbella; s__
Otu90,5,2,8,1,15,13,0,11,13,0,1,4,7,17,1,7,0,0,0,0,0,0,0,0,10,0,14,10,6,22,11,13,14,7,15,13,9,24,6,16,13,13,6,4,10,7,2,19,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__Ellin6075; g__; s__
