,ITS1POST60101,ITS1POST60102,ITS1POST60103,ITS1POST60104,ITS1POST60105,ITS1POST60106,ITS1POST60107,ITS1POST60108,ITS1POST60109,ITS1POST60110,ITS1POST60111,ITS1POST60112,ITS1POST60301,ITS1POST60302,ITS1POST60304,ITS1POST60305,ITS1POST60306,ITS1POST60307,ITS1POST60308,ITS1POST60309,ITS1POST60310,ITS1POST60311,ITS1PRE60101,ITS1PRE60102,ITS1PRE60103,ITS1PRE60104,ITS1PRE60105,ITS1PRE60106,ITS1PRE60107,ITS1PRE60108,ITS1PRE60109,ITS1PRE60110,ITS1PRE60111,ITS1PRE60112,ITS1PRE60301,ITS1PRE60302,ITS1PRE60304,ITS1PRE60305,ITS1PRE60306,ITS1PRE60307,ITS1PRE60308,ITS1PRE60309,ITS1PRE60310,ITS1PRE60311,ITS1PRE60312,taxon
Otu20,45,47,45,33,67,55,159,131,106,5,44,65,299,680,196,1189,1470,98,90,13,16,59,0,0,0,10,0,32,2,11,0,0,0,0,0,0,4,1,33,0,0,0,1,1,19,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_acutatum
Otu15,1,0,1,0,0,0,0,0,1,2,0,0,1,1,1,0,1,2,0,1,0,1,1,1,4,0,4,0,2,1,0,3,2,0,13,18,44,10,0,0,7,0,27,0,33,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Paraboeremia; s__Paraboeremia_selaginellae
Otu44,0,1,0,0,0,2,0,0,4,0,0,1,0,13,0,1,0,1,0,1,0,1,1,58,101,0,312,53,82,231,13,2,48,271,20,5,105,3,89,8,3,1,6,6,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified
Otu18,1,0,12,1,0,2,0,0,1,0,0,0,0,0,1,2,2,1,6,0,1,0,51,158,150,65,196,14,17,63,6,390,168,306,19,12,94,16,19,26,8,7,10,23,1,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__unidentified
Otu436,0,13,0,2,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,1,3,0,43,0,0,0,96,0,8,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu405,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu3446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Monocillium; s__Monocillium_indicum
Otu25,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,3,0,0,0,0,2,0,4,150,16,0,140,344,0,9,84,32,0,0,1,0,102,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Helicodendron; s__Helicodendron_luteoalbum
Otu48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,3,58,91,4,42,130,162,47,4,117,31,74,33,13,10,11,27,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Xenopolyscytalum; s__Xenopolyscytalum_pinea
Otu503,1,7,3,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,3,0,0,0,k__Fungi; p__Basidiobolomycota; c__Basidiobolomycetes; o__Basidiobolales; f__Basidiobolaceae; g__Basidiobolus; s__Basidiobolus_ranarum
Otu10,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,4,36,346,1,1,0,1,0,40,27,85,0,0,1,1,6,25,0,20,7,198,5,35,26,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_hyalina
