"","NMDS1","NMDS2","r","pval","phylum","p.adj","x","y"
"p__",0.607290473649362,-0.794479880560064,0.203641588663613,0.0059,"p__",0.0134090909090909,0,0
"p__[Parvarchaeota]",0.729934058219576,-0.683517571574499,0.199960466848671,0.0181,"p__[Parvarchaeota]",0.0335185185185185,0,0
"p__Acidobacteria",0.984691406835022,-0.17430672191647,0.779363250283089,1e-04,"p__Acidobacteria",0.000294117647058824,0,0
"p__Actinobacteria",-0.803812290961775,-0.594883014464847,0.548222667780662,1e-04,"p__Actinobacteria",0.000294117647058824,0,0
"p__Armatimonadetes",0.970912501682299,0.239434571599466,0.436918329645727,1e-04,"p__Armatimonadetes",0.000294117647058824,0,0
"p__Bacteroidetes",0.99690371502699,0.0786319462138948,0.787320674833291,1e-04,"p__Bacteroidetes",0.000294117647058824,0,0
"p__BHI80-139",0.948120632944843,0.317910782113899,0.160094452453345,0.0272,"p__BHI80-139",0.0485714285714286,0,0
"p__BRC1",0.94404716696178,-0.32981047065161,0.166483390841033,0.0161,"p__BRC1",0.0309615384615385,0,0
"p__Chlamydiae",0.729007543274612,0.684505662393464,0.183752658615195,0.0145,"p__Chlamydiae",0.029,0,0
"p__Chlorobi",0.836705134751003,-0.547653647373325,0.369676422590711,1e-04,"p__Chlorobi",0.000294117647058824,0,0
"p__Chloroflexi",0.910853274842138,-0.412730313533368,0.447158789874447,1e-04,"p__Chloroflexi",0.000294117647058824,0,0
"p__Elusimicrobia",0.935963208085891,-0.352097817530254,0.639513090888406,1e-04,"p__Elusimicrobia",0.000294117647058824,0,0
"p__FBP",0.745746641666292,-0.666229649928197,0.206397093042736,0.009,"p__FBP",0.01875,0,0
"p__FCPU426",0.814716259418799,0.579859824991041,0.393966087379485,2e-04,"p__FCPU426",0.000526315789473684,0,0
"p__Fibrobacteres",0.996536621304432,0.083155050352624,0.395397219899297,1e-04,"p__Fibrobacteres",0.000294117647058824,0,0
"p__Firmicutes",-0.836747625479291,0.547588724550431,0.833289195139699,1e-04,"p__Firmicutes",0.000294117647058824,0,0
"p__Gemmatimonadetes",0.635104490212738,-0.772426233702364,0.503563496798203,1e-04,"p__Gemmatimonadetes",0.000294117647058824,0,0
"p__Nitrospirae",0.49867971868812,-0.866786327862373,0.390587950895241,2e-04,"p__Nitrospirae",0.000526315789473684,0,0
"p__NKB19",0.770036328989134,0.638000040781299,0.265965394825623,0.0029,"p__NKB19",0.0069047619047619,0,0
"p__OD1",0.867274298736588,-0.497830584386857,0.52790501097867,1e-04,"p__OD1",0.000294117647058824,0,0
"p__OP3",0.796901483137392,-0.604109283303464,0.450491830772522,1e-04,"p__OP3",0.000294117647058824,0,0
"p__Planctomycetes",0.96176362166458,-0.273880879293592,0.808698585735456,1e-04,"p__Planctomycetes",0.000294117647058824,0,0
"p__Proteobacteria",0.999473196519735,-0.0324550371841398,0.916200394939471,1e-04,"p__Proteobacteria",0.000294117647058824,0,0
"p__Tenericutes",0.770100980419777,-0.637922001467655,0.427259249711721,1e-04,"p__Tenericutes",0.000294117647058824,0,0
"p__TM7",0.795891167599883,0.605439715691409,0.50706108268363,1e-04,"p__TM7",0.000294117647058824,0,0
"p__Verrucomicrobia",0.88441197378231,-0.46670703940532,0.831634474373045,1e-04,"p__Verrucomicrobia",0.000294117647058824,0,0
"p__WS2",0.745644561872728,-0.666343895709736,0.195067301782918,0.0079,"p__WS2",0.0171739130434783,0,0
"p__WS3",0.747477356650538,-0.664287288223043,0.312811408753329,4e-04,"p__WS3",0.001,0,0
