,id,taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu20,Otu20,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_acutatum,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_acutatum
Otu15,Otu15,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Paraboeremia; s__Paraboeremia_selaginellae,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,g__Paraboeremia,s__Paraboeremia_selaginellae
Otu44,Otu44,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
Otu18,Otu18,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__unidentified,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__unidentified
Otu436,Otu436,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
Otu405,Otu405,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
Otu3446,Otu3446,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Monocillium; s__Monocillium_indicum,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Monocillium,s__Monocillium_indicum
Otu25,Otu25,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Helicodendron; s__Helicodendron_luteoalbum,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Helicodendron,s__Helicodendron_luteoalbum
Otu48,Otu48,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Xenopolyscytalum; s__Xenopolyscytalum_pinea,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Xenopolyscytalum,s__Xenopolyscytalum_pinea
Otu503,Otu503,k__Fungi; p__Basidiobolomycota; c__Basidiobolomycetes; o__Basidiobolales; f__Basidiobolaceae; g__Basidiobolus; s__Basidiobolus_ranarum,k__Fungi,p__Basidiobolomycota,c__Basidiobolomycetes,o__Basidiobolales,f__Basidiobolaceae,g__Basidiobolus,s__Basidiobolus_ranarum
Otu10,Otu10,k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_hyalina,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_hyalina
